,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
303,KLHL7-AS1,555.970831842381,2.97355072446298,0.7876876540388149,3.7750378709331,0.00015998335651556,0.0264609314110489
439,ANXA4,315.792774996972,2.97395730734217,0.834588258597821,3.56338263413706,0.00036610642237685603,0.0411039585977106
250,TRPV6,463.63179074880503,2.97574644809394,0.770371990834585,3.86273966797542,0.00011212247483111599,0.0224606779162683
540,GACAT3,238.353917546135,2.97600950701231,0.8582572958536411,3.46750271904453,0.0005253184274532871,0.0486753892992302
533,PCAT4,555.563153221167,2.977615440413,0.8572502540716129,3.47344946970906,0.000513814103017475,0.0482006222404477
247,RERE,382.660101179595,2.97823042917616,0.7698456360091451,3.86860727640831,0.000109458776890544,0.0221923256485219
218,RNA5SP413,734.980366340068,2.9791178003907204,0.757618271713935,3.9322148258794805,8.416679757355171e-05,0.0193241586703002
459,PSMAGEA,423.062477929141,2.9797773829708905,0.8375329068369121,3.55780335154177,0.000373969106528309,0.0413205545180948
527,WFDC13,385.959800641436,2.98026895671658,0.8567109436644441,3.4787333799764,0.000503789549580632,0.0479754589819389
463,RPL30P2,592.878922656995,2.9807148291446697,0.8410535200437221,3.5440251519186496,0.000394067649919072,0.0421709138146338
505,ELP6,566.296385273646,2.9847271015459707,0.850646278037958,3.50877583151287,0.000450174162020671,0.0447336107520976
356,GAPDHP36,876.427718584064,2.9881867728339397,0.8103916014131609,3.6873367981888596,0.00022661333897672003,0.0319601782926229
405,CT45A11P,316.708766278814,2.99140204018659,0.829301576439182,3.60713415381523,0.00030959761071909704,0.0384043304038156
260,PTAFR,776.9230779940241,2.9949083682521405,0.779479217784094,3.84219142720196,0.00012194067039087,0.0233457491083221
430,IZUMO1R,246.192553889986,2.9968913187701802,0.837703162186898,3.57750985557526,0.000346883144027652,0.0402910342438384
429,PDE7B,494.68582855082803,2.99749683253525,0.8377912285576039,3.57785654750281,0.000346423481764671,0.0402910342438384
373,SRD5A3P1,385.037536651827,3.00167169861172,0.820822812963933,3.65690579160793,0.000255278148262231,0.0342283748607286
418,OR10T1P,426.49075029114897,3.00449194057554,0.8363532261025591,3.59237203469232,0.00032768157717581097,0.0392055337741586
293,NCBP2-AS2,375.01883159422897,3.00481580570952,0.793219802601856,3.78812505166079,0.000151788449650894,0.0258714408030394
473,IPCEF1,453.71283091522,3.0060264721287995,0.8488486523179731,3.5412985152537697,0.000398162826877089,0.0422363398696349
159,CELSR3,545.158906534188,3.0101056096880097,0.7368842008716621,4.08490995753111,4.40939121071677e-05,0.0136129920651808
243,ECM2,259.037280512301,3.01392046670215,0.7775053955960959,3.8763981366218703,0.00010601416239156899,0.0217571350988183
146,PMS2P1,349.346306513107,3.0149403703700095,0.732985068339654,4.113235726887869,3.901516282231479e-05,0.0130781426791254
517,ARCN1,419.624101503222,3.01578271609672,0.8630840388883241,3.4941935897472205,0.00047549608579310705,0.0462105086708551
214,RASSF7,311.162441840666,3.01880222605248,0.766948697520378,3.93612015485856,8.28095236354743e-05,0.019099750724382
383,CPNE7,430.371768932772,3.0228192248143397,0.829302937074473,3.6450120814450697,0.00026737924056632596,0.035010665611759
451,RPL10P16,377.943855203842,3.0281082757594597,0.850308516653143,3.56118775297965,0.000369180965386202,0.0411039585977106
412,LRCH3,699.47842076554,3.02833441114626,0.841434596110173,3.59901342914327,0.00031942669596166003,0.0387173305472527
352,LRRC3B,551.606788837698,3.02910779577619,0.8209464537463941,3.68977511499421,0.000224452379135454,0.0317906762684781
312,ZNF215,643.189163686704,3.03172896678008,0.807683422996477,3.7536104870550298,0.00017430565019093,0.0279218027519251
462,HMGB3P6,422.519728951874,3.0344517241728997,0.855931357251795,3.54520452891906,0.000392308547400455,0.0421709138146338
133,GOLM1,553.780989194786,3.0398739253791804,0.7288712118629039,4.17065988600324,3.0371887426808197e-05,0.011396484117218999
487,CPVL,412.376172079678,3.04148505901706,0.862475728374393,3.52645872684406,0.000421156802741095,0.043305082205777
